unit_message,DVIR ,duplicate
TANDEM PINS WON'T UNLOCK.,'missing''other',0
LRI Tire has flat spots,'air leak under back of trailer''other',0
NEEDS SPIREON REPLACED,'light for the license plates is out''other',0
LR TIRES WORN / DONE MASGWI 6/27 MTB,'flat''tires',1
CURB SIDE PANEL HAS SCRAPE,'bracket damaged''mud flaps',0
ROAD SIDE MUDFLAP MISSING.,'landing pad missing''other',0
CARGO SENSOR INOP (STUCK LOADED),'damaged''frame/body',0
"Driver ID: 'FOUED', Defect Type: 'FRAME/BODY', Description: 'DAMAGED', Remarks: '1. HOLE PIC TAKEN AND SENT TO BETH P.'",'damaged''frame/body',1
NO VERIHA LABELING ON TRAILER (TURN IN PREP COMPLETED),'tread depth''tires',0
ROAD SIDE MUDFLAP MISSING.,'missing''other',0
LEFT DOOR SEAL TORN,'damaged''tires',0
"Driver ID: 'KALRO', Defect Type: 'FRAME/BODY', Description: 'DAMAGED', Remarks: '1. CROSSMEMBERS TAKING FOR REPAIR'",'air leak under back of trailer''other',0
NO GPS!!!!!  ROUTE TO MARINETTE.  stopped tracking 3/19.  historical battery depletion,'flat''tires',0
"Driver ID: 'KLEMI', Defect Type: 'TIRES', Description: 'DAMAGED', Remarks: '1. IRREGULAR WEAR PATTERN'",'tread depth''tires',1
NO GPS!!!!! ROUTE TO MARINETTE,'no bill box''other',0
RETURN TO MARINETTE SHOP FOR DOT REPAIRS RAPAIRS ARE ON DOT SHEET,'light for the license plates is out''other',0
BROKEN BOTTOM HINGE / DONE MASNWI MTB,'light for the license plates is out''other',0
"Lubed up tandems and verified pins are all releasing. Performed dot. DOT failed. LFI and LFO tires low on tread and cupping on inside edges. RRO tire has flat spot. RFI tire cupping on inside edge. RRI tire flat. All 4 torque arm bushings bad and should be replaced, causing uneven tire wear. Mud flap bracket mounts are cracked. All paint peeled off license plate, cannot read plate. Left side crossmember bent and cracked above tandems. All 4 s cam bushings have excessive play, fronts worse than rear. RR brake chamber damaged, plastic guide sticking out from push rod hole. Left dolly leg lower support band broken. Bill box cover missing. We replaced RRI AND RRO tires so unit could safely be brought back to shop. Unit needs about 5 tires. Attached are photos. Please let me know if you would like us to pick up this trailer?",'damaged''frame/body',1
BOTTOM RIGHT DOOR LOCK MISSING.,'light for the license plates is out''other',0
CURB SIDE FRONT INOP CLEARANCE LIGHT,'flat''tires',0
"Driver ID: 'FETHE', Defect Type: 'OTHER', Description: 'SIDE AMBER LIGHT NOT WORKINGTURN', Remarks: '1. TAKING TO LOVES 456 PERRYBURG OHIO FOR REPAIR'",'inop''lamps and reflectors',0
ABS LIGHT ON,'fitting on auto inflate line is cracked and leaking. \nroadside outer on rear axle''other',0
LEFT REAR BRAKES ARE OUT OF ADJUSTMENT,'flat''tires',0
"DRIVER SIDE MUDFLAP, HANGERS BENT",'bracket damaged''mud flaps',1
LEFT LANDING GEAR FOOTPAD LOOSE,'air leak under back of trailer''other',0
CARGO SENSOR INOP (STUCK LOADED) ROUTE TO MARINETTE SHOP,'worn/cracked linings''brakes',0
TRAILER DOG TRACKING TO ROADSIDE,'sensor bad''other',0
air switch needs to be replaced. need a screwdriver to pry button out to release pins and have to push back in to lock pins,'flat''tires',0
"Driver ID: 'THUAN', Defect Type: 'MUD FLAPS', Description: 'BRACKET DAMAGED', Remarks: '1. MUD FLAP METAL BAR BENT'",'fitting on auto inflate line is cracked and leaking. \nroadside outer on rear axle''other',0
air switch needs to be replaced. need a screwdriver to pry button out to release pins and have to push back in to lock pins,'air leak under back of trailer''other',1
NO GPS!!!!!  ROUTE TO MARINETTE.  stopped tracking 3/19.  historical battery depletion,'no bill box''other',0
BROKEN ELECTRICAL BOX / DONE MASGWI 4/1/24 MTB,'bracket damaged''mud flaps',0
MISSING SOME REFLECTIVE TAPE ON THE REAR,'damaged''frame/body',0
RED GLADHAND HOLDER LOOSE,'upper roof line and corner damage in front''other',0
SMALL HOLE UNDER HAZARD PLACARD,'air leak from service break system.  compressor is keeping up.''other',0
CARGO SENSOR INOP,'no bill box''other',0
"Driver ID: 'FRAER', Defect Type: 'MUD FLAPS', Description: 'BRACKET DAMAGED', Remarks: '1. MUD FLAP AND HANGER'",'bracket damaged''mud flaps',1
BROKEN BOTTOM HINGE / DONE MASNWI MTB,'tread depth''tires',0
4 DOOR HINGES BROKEN ON RIGHT SIDE DOOR.,'air leak from service break system.  compressor is keeping up.''other',0
Mud Flaps > Curb Side > Missing / DONE MASNWI? 6/12 MTB (I confirmed first-hand that it is not missing a mud flap),'bracket damaged''mud flaps',1
"Lubed up tandems and verified pins are all releasing. Performed dot. DOT failed. LFI and LFO tires low on tread and cupping on inside edges. RRO tire has flat spot. RFI tire cupping on inside edge. RRI tire flat. All 4 torque arm bushings bad and should be replaced, causing uneven tire wear. Mud flap bracket mounts are cracked. All paint peeled off license plate, cannot read plate. Left side crossmember bent and cracked above tandems. All 4 s cam bushings have excessive play, fronts worse than rear. RR brake chamber damaged, plastic guide sticking out from push rod hole. Left dolly leg lower support band broken. Bill box cover missing. We replaced RRI AND RRO tires so unit could safely be brought back to shop. Unit needs about 5 tires. Attached are photos. Please let me know if you would like us to pick up this trailer?",'light for the license plates is out''other',1
LEFT FRONT CLEARANCE LIGHT INOP 10/14 19300 ROBKE -- light working,'light for the license plates is out''other',0
"DRIVER SIDE MUDFLAP, HANGERS BENT",'landing pad missing''other',0
POSSIBLE LEFT REAR HUB OIL LEAK.,'air leak under back of trailer''other',0
LEFT DOOR SEAL TORN,'missing''other',0
NEEDS TO BE BLEACH WASHED BECAUSE OF MOLD.,'sensor bad''other',0
ROUTE TO MARINETTE FOR CARGO SENSOR REPAIR,'exposed cords''tires',0
"LFI, LRI TIRES NEEDS TO BE REVIEWED.",'brakes may need adjusting''other',0
"Driver ID: 'KLEMI', Defect Type: 'TIRES', Description: 'DAMAGED', Remarks: '1. IRREGULAR WEAR PATTERN'",'damaged''frame/body',0
"Driver ID: 'FRAER', Defect Type: 'MUD FLAPS', Description: 'BRACKET DAMAGED', Remarks: '1. MUD FLAP AND HANGER'",'abs light extinguished when trailer was moved forward at kicnwi but came back on in transit to vernwi and is static since. dropped at vernwi since mf is closed today. thx!''other',0
"DRIVER SIDE MUDFLAP, HANGERS BENT",'damaged''frame/body',0
